>>>2026-04-10 17:18:49,526-py52-INFO-login_page.py: 输入登录用户名 
>>>2026-04-10 17:18:50,019-py52-INFO-login_page.py: 输入登录密码 
>>>2026-04-10 17:46:23,439-py52-INFO-login_page.py: 输入用户名:sanrui_admin 
>>>2026-04-10 17:46:23,521-py52-INFO-login_page.py: 输入登录密码 
>>>2026-04-10 17:48:26,873-py52-INFO-login_page.py: 导航到注册页: /register.html 
>>>2026-04-10 17:48:31,943-py52-INFO-login_page.py: 输入用户名:cxp4 
>>>2026-04-10 17:48:38,095-py52-INFO-login_page.py: 输入登录密码 
>>>2026-04-10 17:48:38,294-py52-INFO-login_page.py: 点击登录按钮 
>>>2026-04-10 17:49:04,536-py52-INFO-login_page.py: 导航到注册页: /register.html 
>>>2026-04-10 17:49:06,507-py52-INFO-login_page.py: 输入用户名: 
>>>2026-04-10 17:49:08,361-py52-INFO-login_page.py: 输入登录密码 
>>>2026-04-10 17:49:08,501-py52-INFO-login_page.py: 点击登录按钮 
>>>2026-04-10 17:49:10,164-py52-INFO-login_page.py: 导航到注册页: /register.html 
>>>2026-04-10 17:49:12,396-py52-INFO-login_page.py: 输入用户名:cxp4 
>>>2026-04-10 17:49:14,580-py52-INFO-login_page.py: 输入登录密码 
>>>2026-04-10 17:49:14,677-py52-INFO-login_page.py: 点击登录按钮 
>>>2026-04-10 17:49:27,158-py52-INFO-login_page.py: 导航到注册页: /register.html 
>>>2026-04-10 17:49:29,637-py52-INFO-login_page.py: 输入用户名:cxp4 
>>>2026-04-10 17:49:32,308-py52-INFO-login_page.py: 输入登录密码 
>>>2026-04-10 17:49:32,446-py52-INFO-login_page.py: 点击登录按钮 
>>>2026-04-10 17:50:31,512-py52-INFO-login_page.py: 导航到注册页: /register.html 
>>>2026-04-10 17:50:34,302-py52-INFO-login_page.py: 输入用户名:cxp4 
>>>2026-04-10 17:50:36,527-py52-INFO-login_page.py: 输入登录密码 
>>>2026-04-10 17:50:36,689-py52-INFO-login_page.py: 点击登录按钮 
>>>2026-04-10 17:50:52,091-py52-INFO-login_page.py: 导航到注册页: /register.html 
>>>2026-04-10 17:50:53,209-py52-INFO-login_page.py: 输入用户名: 
>>>2026-04-10 17:50:55,087-py52-INFO-login_page.py: 输入登录密码 
>>>2026-04-10 17:50:55,270-py52-INFO-login_page.py: 点击登录按钮 
>>>2026-04-10 17:50:56,080-py52-INFO-login_page.py: 导航到注册页: /register.html 
>>>2026-04-10 17:50:57,179-py52-INFO-login_page.py: 输入用户名:cxp4 
>>>2026-04-10 17:50:58,908-py52-INFO-login_page.py: 输入登录密码 
>>>2026-04-10 17:50:59,017-py52-INFO-login_page.py: 点击登录按钮 
>>>2026-04-10 17:51:06,849-py52-INFO-login_page.py: 导航到注册页: /register.html 
>>>2026-04-10 17:51:08,201-py52-INFO-login_page.py: 输入用户名:cxp4 
>>>2026-04-10 17:51:10,346-py52-INFO-login_page.py: 输入登录密码 
>>>2026-04-10 17:51:10,471-py52-INFO-login_page.py: 点击登录按钮 
>>>2026-04-10 17:52:36,370-py52-INFO-login_page.py: 导航到注册页: /register.html 
>>>2026-04-10 17:52:38,825-py52-INFO-login_page.py: 输入用户名:cxp4 
>>>2026-04-10 17:52:41,342-py52-INFO-login_page.py: 输入登录密码 
>>>2026-04-10 17:52:41,463-py52-INFO-login_page.py: 点击登录按钮 
>>>2026-04-10 17:52:57,486-py52-INFO-login_page.py: 导航到注册页: /register.html 
>>>2026-04-10 17:52:59,103-py52-INFO-login_page.py: 输入用户名: 
>>>2026-04-10 17:53:02,076-py52-INFO-login_page.py: 输入登录密码 
>>>2026-04-10 17:53:02,564-py52-INFO-login_page.py: 点击登录按钮 
>>>2026-04-10 17:53:03,939-py52-INFO-login_page.py: 导航到注册页: /register.html 
>>>2026-04-10 17:53:05,651-py52-INFO-login_page.py: 输入用户名:cxp4 
>>>2026-04-10 17:53:07,557-py52-INFO-login_page.py: 输入登录密码 
>>>2026-04-10 17:53:07,755-py52-INFO-login_page.py: 点击登录按钮 
>>>2026-04-10 17:53:16,553-py52-INFO-login_page.py: 导航到注册页: /register.html 
>>>2026-04-10 17:53:17,812-py52-INFO-login_page.py: 输入用户名:cxp4 
>>>2026-04-10 17:53:19,875-py52-INFO-login_page.py: 输入登录密码 
>>>2026-04-10 17:53:20,006-py52-INFO-login_page.py: 点击登录按钮 
>>>2026-04-10 17:55:18,181-py52-INFO-login_page.py: 导航到注册页: /register.html 
>>>2026-04-10 17:55:19,615-py52-INFO-login_page.py: 输入用户名:cxp4 
>>>2026-04-10 17:55:21,719-py52-INFO-login_page.py: 输入登录密码 
>>>2026-04-10 17:55:21,846-py52-INFO-login_page.py: 点击登录按钮 
>>>2026-04-10 17:55:38,738-py52-INFO-login_page.py: 导航到注册页: /register.html 
>>>2026-04-10 17:55:39,911-py52-INFO-login_page.py: 输入用户名: 
>>>2026-04-10 17:55:42,137-py52-INFO-login_page.py: 输入登录密码 
>>>2026-04-10 17:55:42,270-py52-INFO-login_page.py: 点击登录按钮 
>>>2026-04-10 17:55:43,251-py52-INFO-login_page.py: 导航到注册页: /register.html 
>>>2026-04-10 17:55:45,059-py52-INFO-login_page.py: 输入用户名:cxp4 
>>>2026-04-10 17:55:46,997-py52-INFO-login_page.py: 输入登录密码 
>>>2026-04-10 17:55:47,161-py52-INFO-login_page.py: 点击登录按钮 
>>>2026-04-10 17:55:54,847-py52-INFO-login_page.py: 导航到注册页: /register.html 
>>>2026-04-10 17:55:56,283-py52-INFO-login_page.py: 输入用户名:cxp4 
>>>2026-04-10 17:55:58,303-py52-INFO-login_page.py: 输入登录密码 
